concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000000559,21496993,Maps to,2025-04-16,2099-12-31,
21496993,2000000559,Maps from,2025-04-16,2099-12-31,
2000000154,0,Maps to,2025-04-16,2099-12-31,
0,2000000154,Maps from,2025-04-16,2099-12-31,
2000000568,0,Maps to,2025-04-16,2099-12-31,
0,2000000568,Maps from,2025-04-16,2099-12-31,
2000000569,0,Maps to,2025-04-16,2099-12-31,
0,2000000569,Maps from,2025-04-16,2099-12-31,
2000000560,40785815,Maps to,2025-04-16,2099-12-31,
40785815,2000000560,Maps from,2025-04-16,2099-12-31,
2000000570,0,Maps to,2025-04-16,2099-12-31,
0,2000000570,Maps from,2025-04-16,2099-12-31,
2000000571,0,Maps to,2025-04-16,2099-12-31,
0,2000000571,Maps from,2025-04-16,2099-12-31,
2000000572,0,Maps to,2025-04-16,2099-12-31,
0,2000000572,Maps from,2025-04-16,2099-12-31,
2000000573,0,Maps to,2025-04-16,2099-12-31,
0,2000000573,Maps from,2025-04-16,2099-12-31,
2000000574,37033277,Maps to,2025-04-16,2099-12-31,
37033277,2000000574,Maps from,2025-04-16,2099-12-31,
2000000575,0,Maps to,2025-04-16,2099-12-31,
0,2000000575,Maps from,2025-04-16,2099-12-31,
2000000028,0,Maps to,2025-04-16,2099-12-31,
0,2000000028,Maps from,2025-04-16,2099-12-31,
2000000469,40783106,Maps to,2025-04-16,2099-12-31,
40783106,2000000469,Maps from,2025-04-16,2099-12-31,
2000000561,40795863,Maps to,2025-04-16,2099-12-31,
40795863,2000000561,Maps from,2025-04-16,2099-12-31,
2000000603,0,Maps to,2025-04-16,2099-12-31,
0,2000000603,Maps from,2025-04-16,2099-12-31,
2000000604,0,Maps to,2025-04-16,2099-12-31,
0,2000000604,Maps from,2025-04-16,2099-12-31,
2000000576,40772603,Maps to,2025-04-16,2099-12-31,
40772603,2000000576,Maps from,2025-04-16,2099-12-31,
2000000577,40775936,Maps to,2025-04-16,2099-12-31,
40775936,2000000577,Maps from,2025-04-16,2099-12-31,
2000000605,0,Maps to,2025-04-16,2099-12-31,
0,2000000605,Maps from,2025-04-16,2099-12-31,
2000000578,40796053,Maps to,2025-04-16,2099-12-31,
40796053,2000000578,Maps from,2025-04-16,2099-12-31,
2000000606,0,Maps to,2025-04-16,2099-12-31,
0,2000000606,Maps from,2025-04-16,2099-12-31,
2000000073,3968605,Maps to,2025-04-16,2099-12-31,
3968605,2000000073,Maps from,2025-04-16,2099-12-31,
2000000607,0,Maps to,2025-04-16,2099-12-31,
0,2000000607,Maps from,2025-04-16,2099-12-31,
2000000155,0,Maps to,2025-04-16,2099-12-31,
0,2000000155,Maps from,2025-04-16,2099-12-31,
2000000608,0,Maps to,2025-04-16,2099-12-31,
0,2000000608,Maps from,2025-04-16,2099-12-31,
2000000601,40782528,Maps to,2025-04-16,2099-12-31,
40782528,2000000601,Maps from,2025-04-16,2099-12-31,
2000000609,0,Maps to,2025-04-16,2099-12-31,
0,2000000609,Maps from,2025-04-16,2099-12-31,
2000000387,40779364,Maps to,2025-04-16,2099-12-31,
40779364,2000000387,Maps from,2025-04-16,2099-12-31,
2000000602,40775776,Maps to,2025-04-16,2099-12-31,
40775776,2000000602,Maps from,2025-04-16,2099-12-31,
2000000156,0,Maps to,2025-04-16,2099-12-31,
0,2000000156,Maps from,2025-04-16,2099-12-31,
2000000610,0,Maps to,2025-04-16,2099-12-31,
0,2000000610,Maps from,2025-04-16,2099-12-31,
2000000157,0,Maps to,2025-04-16,2099-12-31,
0,2000000157,Maps from,2025-04-16,2099-12-31,
2000000611,0,Maps to,2025-04-16,2099-12-31,
0,2000000611,Maps from,2025-04-16,2099-12-31,
2000000612,0,Maps to,2025-04-16,2099-12-31,
0,2000000612,Maps from,2025-04-16,2099-12-31,
2000000158,0,Maps to,2025-04-16,2099-12-31,
0,2000000158,Maps from,2025-04-16,2099-12-31,
2000000613,40783165,Maps to,2025-04-16,2099-12-31,
40783165,2000000613,Maps from,2025-04-16,2099-12-31,
2000000614,40783137,Maps to,2025-04-16,2099-12-31,
40783137,2000000614,Maps from,2025-04-16,2099-12-31,
2000000020,40795725,Maps to,2025-04-16,2099-12-31,
40795725,2000000020,Maps from,2025-04-16,2099-12-31,
2000000624,0,Maps to,2025-04-16,2099-12-31,
